english;french;level;frequency;type
Carefully;Soigneusement;B2;8
Certainly;Certainement;B1;9
Clearly;Clairment;B1;8
Closely;Etroitement;B2;6
Commonly;Communément;B2;5
Completely;Complètement;B1;9
Confidently;Avec confiance;B2;5
Consciously;Consciemment;C1;4
Consequently;Par conséquent;B2;6
Continuously;Continuellement;B2;6
Conveniently;Convenablement;B2;6
Correctly;Correctement;A2;8
Courageously;Courageusement;B2;4
Covertly;Clandestinement;C1;3
Crazily;Follement;B2;4
Crossly;Méchamment;C1;2
Crudely;Crûment;C1;2
Cunningly;Astucieusement;C1;3
Curiously;Curieusement;B1;6
Currently;Actuellement;B1;10
