english;french;level;frequency;type;info
to nab;saisir-voler;B2;3;ACTION;REGULAR
to nail;clouer;B2;6;ACTION;REGULAR
to name;nommer;B1;8;ACTION;REGULAR
to nap;faire une sieste;B2;2;STATE;REGULAR
to narrate;narrer;C1;4;ACTION;REGULAR
to narrow;rétrécir;B2;5;ACTION;REGULAR
to natter;bavarder;B2;2;ACTION;REGULAR
to navigate;naviguer;B2;6;ACTION;REGULAR
to neaten;arranger;B2;3;ACTION;REGULAR
to necessitate;nécessiter;C1;6;STATE;REGULAR
to need;avoir besoin de;A2;9;ACTION;REGULAR
to needle;piquer;B2;3;ACTION;REGULAR
to negate;nier;C1;4;STATE;REGULAR
to neglect;négliger;B2;5;ACTION;REGULAR
to negotiate;négocier;B2;6;ACTION;REGULAR
to nest;nicher;B2;4;ACTION;REGULAR
to nestle;se blottir;B2;3;ACTION;REGULAR
to net;pêcher au filet;B2;2;ACTION;REGULAR
to network;réseauter;B2;5;ACTION;REGULAR
to neutralize;neutraliser;B2;6;ACTION;REGULAR
to nibble;grignoter;B2;4;ACTION;REGULAR
to nick;entailler;B2;3;ACTION;REGULAR
to nickname;surnommer;B2;2;ACTION;REGULAR
to niggle;tracasser;C1;1;STATE;REGULAR
to nip;pincer;B2;4;ACTION;REGULAR
to nod;incliner la tête;B1;5;ACTION;REGULAR
to nominate;nommer;B2;6;ACTION;REGULAR
to normalize;normaliser;B2;4;ACTION;REGULAR
to nose;renifler;B2;3;ACTION;REGULAR
to notarize;authentifier;C1;2;ACTION;REGULAR
to note;noter;B2;6;ACTION;REGULAR
to notice;remarquer;B2;7;ACTION;REGULAR
to notify;avertir;B2;5;ACTION;REGULAR
to nourish;nourrir;B1;6;ACTION;REGULAR
to novelize;romancer;C1;2;ACTION;REGULAR
to nudge;pousser légèrement;B1;5;ACTION;REGULAR
to nullify;annuler;C1;4;ACTION;REGULAR
to numb;engourdir;B2;3;STATE;REGULAR
to number;numéroter;B2;4;ACTION;REGULAR
to nurse;soigner;B2;5;ACTION;REGULAR
to nurture;nourrir;B2;5;ACTION;REGULAR
to nuzzle;frotter;B2;2;ACTION;REGULAR
