english;french;level;frequency;type
Rapidly;Rapidement;B2;7;Manner
Rarely;Rarement;B2;6;Frequency
Rather;Plutôt;B2;7;Degree
Readily;Facilement;B2;5;Manner
Really;Vraiment;A2;10;Degree
Reasonably;Raisonnablement;B2;6;Manner
Recently;Récemment;A2;8;Time
Recklessly;Imprudemment;C1;3;Manner
Regularly;Régulièrement;B1;7;Frequency
Relentlessly;Implacablement;C1;4;Manner
Repeatedly;À plusieurs reprises;B2;6;Manner
Rightfully;À juste titre;C1;3;Manner
Rigidly;Rigoureusement;B2;4;Manner
Roughly;Rudement;B2;6;Manner
Royally;Royalement;C1;4;Manner
Rudely;grossièrement;B2;6;manner
Ruthlessly;impitoyablement;C1;4;manner
