english;french;level;frequency;type
daily;quotidiennement;A2;7
daintily;délicatement;B2;2
daringly;hardiment;C1;3
dearly;cher;B2;4
decently;décemment;B2;5
deeply;profondément;B1;8
definitely;certainement;B1;9
deliberately;délibérément;B2;6
delightfully;charmante;C1;2
diligently;diligemment;B2;5
dimly;obscurément;B2;5
directly;directement;A2;8
discreetly;discrètement;B2;4
distinctly;distinctement;B2;5
divinely;divinement;C1;2
dizzily;étourdiment;C1;2
docilely;docilement;C1;1
doubtfully;douteusement;B2;4
dramatically;dramatiquement;B1;6
dutifully;dûment;C1;2
